Release,Perf,Quantile,Value
PyAF-3.0,L1,80,0.6667
PyAF-3.0,L1,90,2.1667
PyAF-3.0,L1,100,166.6667
PyAF-3.0,L2,0,0.0
PyAF-3.0,L2,10,0.0
PyAF-3.0,L2,20,0.0
PyAF-3.0,L2,30,0.0
PyAF-3.0,L2,40,0.0
PyAF-3.0,L2,50,0.0
PyAF-3.0,L2,60,0.4082
PyAF-3.0,L2,70,0.5774
PyAF-3.0,L2,80,1.633
PyAF-3.0,L2,90,4.5648
PyAF-3.0,L2,100,408.2483
PyAF-3.0,MAPE,0,0.0
PyAF-3.0,MAPE,10,0.0
PyAF-3.0,MAPE,20,0.0
PyAF-3.0,MAPE,30,0.0
PyAF-3.0,MAPE,40,0.0
PyAF-3.0,MAPE,50,0.0
PyAF-3.0,MAPE,60,0.1667
PyAF-3.0,MAPE,70,0.1667
PyAF-3.0,MAPE,80,0.1667
PyAF-3.0,MAPE,90,0.1667
PyAF-3.0,MAPE,100,0.5
PyAF-3.0,SMAPE,0,0.0
PyAF-3.0,SMAPE,10,0.0
PyAF-3.0,SMAPE,20,0.0
PyAF-3.0,SMAPE,30,0.0
PyAF-3.0,SMAPE,40,0.0
PyAF-3.0,SMAPE,50,0.0
PyAF-3.0,SMAPE,60,0.3333
PyAF-3.0,SMAPE,70,0.3333
PyAF-3.0,SMAPE,80,0.3333
PyAF-3.0,SMAPE,90,0.3333
PyAF-3.0,SMAPE,100,1.0
PyAF-3.0,MASE,0,0.0
PyAF-3.0,MASE,10,0.0
PyAF-3.0,MASE,20,0.0
PyAF-3.0,MASE,30,0.0
PyAF-3.0,MASE,40,0.0
PyAF-3.0,MASE,50,0.0
PyAF-3.0,MASE,60,0.4167
PyAF-3.0,MASE,70,0.4167
PyAF-3.0,MASE,80,0.4167
PyAF-3.0,MASE,90,0.8333
PyAF-3.0,MASE,100,2.5
PyAF-3.0,TrainingTime,0,4.33
PyAF-3.0,TrainingTime,10,4.93
PyAF-3.0,TrainingTime,20,5.01
PyAF-3.0,TrainingTime,30,5.06
PyAF-3.0,TrainingTime,40,5.11
PyAF-3.0,TrainingTime,50,5.16
PyAF-3.0,TrainingTime,60,5.23
PyAF-3.0,TrainingTime,70,5.32
PyAF-3.0,TrainingTime,80,5.47
PyAF-3.0,TrainingTime,90,5.7
PyAF-3.0,TrainingTime,100,7.26
PyAF-4.0,L1,0,0.0
PyAF-4.0,L1,10,0.0
PyAF-4.0,L1,20,0.0
PyAF-4.0,L1,30,0.0
PyAF-4.0,L1,40,0.0
PyAF-4.0,L1,50,0.0
PyAF-4.0,L1,60,0.1667
PyAF-4.0,L1,70,0.3333
PyAF-4.0,L1,80,0.6667
PyAF-4.0,L1,90,2.1667
PyAF-4.0,L1,100,166.6667
PyAF-4.0,L2,0,0.0
PyAF-4.0,L2,10,0.0
PyAF-4.0,L2,20,0.0
PyAF-4.0,L2,30,0.0
PyAF-4.0,L2,40,0.0
PyAF-4.0,L2,50,0.0
PyAF-4.0,L2,60,0.4082
PyAF-4.0,L2,70,0.5774
PyAF-4.0,L2,80,1.633
PyAF-4.0,L2,90,4.5648
PyAF-4.0,L2,100,408.2483
PyAF-4.0,MAPE,0,0.0
PyAF-4.0,MAPE,10,0.0
PyAF-4.0,MAPE,20,0.0
PyAF-4.0,MAPE,30,0.0
PyAF-4.0,MAPE,40,0.0
